,Lambda,estimand,side,estimate,sterr_if,sterr_boot,bootmean,quantiles50,quantiles90,quantiles95
3,1.034,0,lower,0.31780964417310603,0.007709335932664432,,,,,
4,1.034,ATE,upper,0.03542062893831356,0.01237924506379376,,,,,
5,1.034,ATE,lower,0.013075248328573569,0.01217532033717397,,,,,
6,1.034,ATT,upper,0.04366377777803898,0.012839798158562586,,,,,
7,1.034,ATT,lower,0.020401576807243835,0.013236990553093367,,,,,
8,1.034,ATC,upper,-0.00856927778579242,0.01224929812694513,,,,,
9,1.034,ATC,lower,-0.03035077901830222,0.012811910946175958,,,,,
0,1.035,1,upper,0.3534319219533727,0.010248418912554586,,,,,
1,1.035,1,lower,0.33955516952041054,0.009813885058122482,,,,,
2,1.035,0,upper,0.32680079725629113,0.007937021708876956,,,,,
3,1.035,0,lower,0.3176858786163572,0.00770623040634963,,,,,
4,1.035,ATE,upper,0.035746043337015525,0.01238254487417629,,,,,
5,1.035,ATE,lower,0.012754372264119447,0.01217272264431077,,,,,
6,1.035,ATT,upper,0.04398877570292646,0.012834380655284106,,,,,
7,1.035,ATT,lower,0.02005376727800849,0.013243232592127,,,,,
8,1.035,ATC,upper,-0.008264966826120665,0.012241565086510512,,,,,
9,1.035,ATC,lower,-0.030676449564233356,0.012820510216756531,,,,,
0,1.036,1,upper,0.353633570795326,0.010254759857721542,,,,,
1,1.036,1,lower,0.33936710986887714,0.009808022062864552,,,,,
2,1.036,0,upper,0.32693324991746814,0.007940405610649145,,,,,
3,1.036,0,lower,0.31756235198925464,0.007703131673870527,,,,,
4,1.036,ATE,upper,0.03607121880607129,0.012385851567096958,,,,,
5,1.036,ATE,lower,0.012433859951409021,0.012170137381869298,,,,,
6,1.036,ATT,upper,0.04431314621869261,0.012828977646138858,,,,,
7,1.036,ATT,lower,0.01970595774877306,0.013249487881943993,,,,,
8,1.036,ATC,upper,-0.00796124333934395,0.012233850159797475,,,,,
9,1.036,ATC,lower,-0.031002120110164524,0.0128291157319066,,,,,
0,1.037,1,upper,0.35383521963727915,0.010261101530337182,,,,,
1,1.037,1,lower,0.3391794129167681,0.009802171096283927,,,,,
2,1.037,0,upper,0.3270657025786451,0.007943790350942491,,,,,
3,1.037,0,lower,0.31743906360058427,0.007700039714225151,,,,,
4,1.037,ATE,upper,0.03639615603669481,0.012389165122050013,,,,,
5,1.037,ATE,lower,0.012113710338123036,0.012167564514648127,,,,,
6,1.037,ATT,upper,0.04463689114040709,0.01282358908261362,,,,,
7,1.037,ATT,lower,0.019358148219537713,0.013255756377707456,,,,,
8,1.037,ATC,upper,-0.007658105625926573,0.012226153291204637,,,,,
9,1.037,ATC,lower,-0.031327790656095644,0.012837727470138017,,,,,
0,1.038,1,upper,0.3540368684792323,0.010267443929053587,,,,,
1,1.038,1,lower,0.3389920776158193,0.009796332122820665,,,,,
2,1.038,0,upper,0.3271981552398221,0.007947175928685605,,,,,
3,1.038,0,lower,0.3173160127617958,0.007696954506495235,,,,,
4,1.038,ATE,upper,0.036720855717436544,0.012392485518612151,,,,,
5,1.038,ATE,lower,0.01179392237599713,0.012165004007582273,,,,,
6,1.038,ATT,upper,0.044960012276145274,0.012818214916392637,,,,,
7,1.038,ATT,lower,0.019010338690302282,0.013262038034751223,,,,,
